movie_title,genre_type
Captain America: The First Avenger,Adventure
Captain America: The First Avenger,Sci-Fi
The World Is Not Enough,Action
The World Is Not Enough,Adventure
The World Is Not Enough,Thriller
Master and Commander: The Far Side of the World,Action
Master and Commander: The Far Side of the World,Adventure
Master and Commander: The Far Side of the World,Drama
Master and Commander: The Far Side of the World,History
Master and Commander: The Far Side of the World,War
The Twilight Saga: Breaking Dawn - Part 2,Adventure
The Twilight Saga: Breaking Dawn - Part 2,Drama
The Twilight Saga: Breaking Dawn - Part 2,Fantasy
The Twilight Saga: Breaking Dawn - Part 2,Romance
Happy Feet 2,Animation
Happy Feet 2,Comedy
Happy Feet 2,Family
Happy Feet 2,Musical
The Incredible Hulk,Action
The Incredible Hulk,Adventure
The Incredible Hulk,Sci-Fi
The BFG,Adventure
The BFG,Family
The BFG,Fantasy
The Revenant,Adventure
The Revenant,Drama
The Revenant,Thriller
The Revenant,Western
Turbo,Adventure
Turbo,Animation
Turbo,Comedy
Turbo,Family
Turbo,Sport
Rango,Adventure
Rango,Animation
Rango,Comedy
Rango,Family
Rango,Western
Penguins of Madagascar,Adventure
Penguins of Madagascar,Animation
Penguins of Madagascar,Comedy
Penguins of Madagascar,Family
The Bourne Ultimatum,Action
The Bourne Ultimatum,Mystery
The Bourne Ultimatum,Thriller
Kung Fu Panda,Action
Kung Fu Panda,Adventure
Kung Fu Panda,Animation
Kung Fu Panda,Comedy
Kung Fu Panda,Family
Ant-Man,Action
Ant-Man,Adventure
Ant-Man,Comedy
Ant-Man,Sci-Fi
The Hunger Games: Catching Fire,Adventure
The Hunger Games: Catching Fire,Sci-Fi
The Hunger Games: Catching Fire,Thriller
Home,Adventure
Home,Animation
Home,Comedy
Home,Family
Home,Fantasy
Home,Sci-Fi
War of the Worlds,Adventure
War of the Worlds,Sci-Fi
War of the Worlds,Thriller
Bad Boys II,Action
Bad Boys II,Comedy
Bad Boys II,Crime
Bad Boys II,Thriller
Puss in Boots,Action
Puss in Boots,Adventure
Puss in Boots,Animation
Puss in Boots,Comedy
Puss in Boots,Family
Puss in Boots,Fantasy
Salt,Action
Salt,Crime
Salt,Mystery
Salt,Thriller
Noah,Action
Noah,Adventure
Noah,Drama
The Adventures of Tintin,Action
The Adventures of Tintin,Adventure
The Adventures of Tintin,Family
The Adventures of Tintin,Mystery
Harry Potter and the Prisoner of Azkaban,Adventure
Harry Potter and the Prisoner of Azkaban,Family
Harry Potter and the Prisoner of Azkaban,Fantasy
Harry Potter and the Prisoner of Azkaban,Mystery
Australia,Adventure
Australia,Drama
Australia,Romance
Australia,War
After Earth,Action
After Earth,Adventure
After Earth,Sci-Fi
Dinosaur,Adventure
Dinosaur,Animation
Dinosaur,Family
Dinosaur,Thriller
Night at the Museum: Secret of the Tomb,Adventure
Night at the Museum: Secret of the Tomb,Comedy
