movie_title,actor_name
The Fast and the Furious,Paul Walker
The Fast and the Furious,Vin Diesel
The Fast and the Furious,Jordana Brewster
The Curious Case of Benjamin Button,Brad Pitt
The Curious Case of Benjamin Button,Jason Flemyng
The Curious Case of Benjamin Button,Julia Ormond
X-Men: First Class,Jennifer Lawrence
X-Men: First Class,Michael Fassbender
X-Men: First Class,Oliver Platt
The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence
The Hunger Games: Mockingjay - Part 2,Philip Seymour Hoffman
The Hunger Games: Mockingjay - Part 2,Josh Hutcherson
The Sorcerer's Apprentice,Nicolas Cage
The Sorcerer's Apprentice,Omar Benson Miller
The Sorcerer's Apprentice,Robert Capron
Poseidon,Jimmy Bennett
Poseidon,Mike Vogel
Poseidon,Andre Braugher
Alice Through the Looking Glass,Johnny Depp
Alice Through the Looking Glass,Alan Rickman
Alice Through the Looking Glass,Anne Hathaway
Shrek the Third,Justin Timberlake
Shrek the Third,Eric Idle
Shrek the Third,Rupert Everett
Warcraft,Dominic Cooper
Warcraft,Callum Rennie
Warcraft,Ruth Negga
Terminator Genisys,J.K. Simmons
Terminator Genisys,Emilia Clarke
Terminator Genisys,Matt Smith
The Chronicles of Narnia: The Voyage of the Dawn Treader,Bruce Spence
The Chronicles of Narnia: The Voyage of the Dawn Treader,Shane Rangi
The Chronicles of Narnia: The Voyage of the Dawn Treader,Laura Brent
Pearl Harbor,Jennifer Garner
Pearl Harbor,Jaime King
Pearl Harbor,Mako
Transformers,Zack Ward
Transformers,Michael O'Neill
Transformers,Kevin Dunn
Alexander,Anthony Hopkins
Alexander,Angelina Jolie Pitt
Alexander,Brian Blessed
Harry Potter and the Order of the Phoenix,Robert Pattinson
Harry Potter and the Order of the Phoenix,Daniel Radcliffe
Harry Potter and the Order of the Phoenix,Fiona Shaw
Harry Potter and the Goblet of Fire,Robert Pattinson
Harry Potter and the Goblet of Fire,Daniel Radcliffe
Harry Potter and the Goblet of Fire,Rupert Grint
Hancock,Will Smith
Hancock,Charlize Theron
Hancock,Eddie Marsan
I Am Legend,Will Smith
I Am Legend,Alice Braga
I Am Legend,Willow Smith
Charlie and the Chocolate Factory,Johnny Depp
Charlie and the Chocolate Factory,Christopher Lee
Charlie and the Chocolate Factory,David Kelly
Ratatouille,Janeane Garofalo
Ratatouille,John Ratzenberger
Ratatouille,Brian Dennehy
Batman Begins,Christian Bale
Batman Begins,Liam Neeson
Batman Begins,Morgan Freeman
Madagascar: Escape 2 Africa,Bernie Mac
Madagascar: Escape 2 Africa,Jada Pinkett Smith
Madagascar: Escape 2 Africa,Cedric the Entertainer
Night at the Museum: Battle of the Smithsonian,Robin Williams
Night at the Museum: Battle of the Smithsonian,Rami Malek
Night at the Museum: Battle of the Smithsonian,Steve Coogan
X-Men Origins: Wolverine,Hugh Jackman
X-Men Origins: Wolverine,Ryan Reynolds
X-Men Origins: Wolverine,Dominic Monaghan
The Matrix Revolutions,Essie Davis
The Matrix Revolutions,Collin Chou
The Matrix Revolutions,Nona Gaye
Frozen,Josh Gad
Frozen,Maurice LaMarche
Frozen,Livvy Stubenrauch
The Matrix Reloaded,Steve Bastoni
The Matrix Reloaded,Daniel Bernhardt
