movie_title,title_year,language,country,duration,content_rating,movie_imdb_link,director_name,imdb_score,num_voted_users,gross
The Great Gatsby,2013,English,Australia,143.0,PG-13,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,Baz Luhrmann,7.3,362912,144812796.0
Prince of Persia: The Sands of Time,2010,English,USA,116.0,PG-13,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,Mike Newell,6.6,222403,90755643.0
Pacific Rim,2013,English,USA,131.0,PG-13,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,Guillermo del Toro,7.0,381148,101785482.0
Transformers: Dark of the Moon,2011,English,USA,154.0,PG-13,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,Michael Bay,6.3,326180,352358779.0
Indiana Jones and the Kingdom of the Crystal Skull,2008,English,USA,122.0,PG-13,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,Steven Spielberg,6.2,333847,317011114.0
The Good Dinosaur,2015,English,USA,93.0,PG,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,Peter Sohn,6.8,62836,123070338.0
Brave,2012,English,USA,93.0,PG,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,Mark Andrews,7.2,273556,237282182.0
Star Trek Beyond,2016,English,USA,122.0,PG-13,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,Justin Lin,7.5,53607,130468626.0
WALL·E,2008,English,USA,98.0,G,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,Andrew Stanton,8.4,718837,223806889.0
Rush Hour 3,2007,English,USA,91.0,PG-13,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,Brett Ratner,6.2,121084,140080850.0
2012,2009,English,USA,158.0,PG-13,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,Roland Emmerich,5.8,283418,166112167.0
A Christmas Carol,2009,English,USA,96.0,PG,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,Robert Zemeckis,6.8,72809,137850096.0
Jupiter Ascending,2015,English,USA,127.0,PG-13,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,Lana Wachowski,5.4,139593,47375327.0
The Legend of Tarzan,2016,English,USA,110.0,PG-13,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,David Yates,6.6,42372,124051759.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,English,USA,150.0,PG,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,Andrew Adamson,6.9,286506,291709845.0
X-Men: Apocalypse,2016,English,USA,144.0,PG-13,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,Bryan Singer,7.3,148379,154985087.0
The Dark Knight,2008,English,USA,152.0,PG-13,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,Christopher Nolan,9.0,1676169,533316061.0
Up,2009,English,USA,96.0,PG,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,Pete Docter,8.3,665575,292979556.0
Monsters vs. Aliens,2009,English,USA,94.0,PG,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,Rob Letterman,6.5,114553,198332128.0
Iron Man,2008,English,USA,126.0,PG-13,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,Jon Favreau,7.9,696338,318298180.0
Hugo,2011,English,USA,126.0,PG,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,Martin Scorsese,7.5,245333,73820094.0
Wild Wild West,1999,English,USA,106.0,PG-13,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,Barry Sonnenfeld,4.8,129601,113745408.0
The Mummy: Tomb of the Dragon Emperor,2008,English,USA,112.0,PG-13,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,Rob Cohen,5.2,117927,102176165.0
Suicide Squad,2016,English,USA,123.0,PG-13,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,David Ayer,6.9,118992,161087183.0
Evan Almighty,2007,English,USA,96.0,PG,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,Tom Shadyac,5.4,115099,100289690.0
Edge of Tomorrow,2014,English,USA,113.0,PG-13,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,Doug Liman,7.9,431620,100189501.0
Waterworld,1995,English,USA,176.0,PG-13,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,Kevin Reynolds,6.1,144337,88246220.0
G.I. Joe: The Rise of Cobra,2009,English,USA,118.0,PG-13,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,Stephen Sommers,5.8,174578,150167630.0
Inside Out,2015,English,USA,95.0,PG,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,Pete Docter,8.3,345198,356454367.0
The Jungle Book,2016,English,UK,106.0,PG,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,Jon Favreau,7.8,106072,362645141.0
Iron Man 2,2010,English,USA,124.0,PG-13,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,Jon Favreau,7.0,522371,312057433.0
Snow White and the Huntsman,2012,English,USA,132.0,PG-13,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,Rupert Sanders,6.1,228554,155111815.0
Maleficent,2014,English,USA,97.0,PG,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,Robert Stromberg,7.0,252257,241407328.0
Dawn of the Planet of the Apes,2014,English,USA,130.0,PG-13,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,Matt Reeves,7.6,317542,208543795.0
The Lovers,2015,English,Belgium,109.0,R,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,Roland Joffé,4.5,2138,
47 Ronin,2013,English,USA,128.0,PG-13,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,Carl Rinsch,6.3,116994,38297305.0
Captain America: The Winter Soldier,2014,English,USA,136.0,PG-13,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,Anthony Russo,7.8,496749,259746958.0
Shrek Forever After,2010,English,USA,93.0,PG,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,Mike Mitchell,6.4,138661,238371987.0
Tomorrowland,2015,English,USA,130.0,PG,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,Brad Bird,6.5,128306,93417865.0
Big Hero 6,2014,English,USA,102.0,PG,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,Don Hall,7.9,279093,222487711.0
Wreck-It Ralph,2012,English,USA,101.0,PG,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,Rich Moore,7.8,272534,189412677.0
The Polar Express,2004,English,USA,100.0,G,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,Robert Zemeckis,6.6,120798,665426.0
Independence Day: Resurgence,2016,English,USA,120.0,PG-13,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,Roland Emmerich,5.5,58137,102315545.0
How to Train Your Dragon,2010,English,USA,98.0,PG,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,Dean DeBlois,8.2,485430,217387997.0
Terminator 3: Rise of the Machines,2003,English,USA,109.0,R,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,Jonathan Mostow,6.4,305340,150350192.0
Guardians of the Galaxy,2014,English,USA,121.0,PG-13,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,James Gunn,8.1,682155,333130696.0
Interstellar,2014,English,USA,169.0,PG-13,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,Christopher Nolan,8.6,928227,187991439.0
Inception,2010,English,USA,148.0,PG-13,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,Christopher Nolan,8.8,1468200,292568851.0
